timestamp,user_id,feedback_text,rating,cluster,umap_x,umap_y,umap_z,cluster_str,text_preview
2026-01-01 00:00:00,u2824,The model hallucinated a fact about my region. The response was helpful and clear.,2.5,3,17.983658,10.532238,14.798378,Cluster 3,The model hallucinated a fact about my region. The response was helpful and clear....
2026-01-01 01:00:00,u1409,I felt the AI was dismissive of my cultural context. The response was helpful and clear.,1.8,4,8.956392,0.26056528,8.833397,Cluster 4,I felt the AI was dismissive of my cultural context. The response was helpful and clear....
2026-01-01 02:00:00,u5506,Excellent multilingual support — handled code-switching well. The AI made assumptions about my background.,2.3,4,15.476157,9.901929,2.9600976,Cluster 4,Excellent multilingual support — handled code-switching well. The AI made assumptions about my backg...
2026-01-01 03:00:00,u5012,I felt the AI was dismissive of my cultural context. The AI refused my request without explanation.,4.0,4,9.129351,0.686745,8.283929,Cluster 4,I felt the AI was dismissive of my cultural context. The AI refused my request without explanation....
2026-01-01 04:00:00,u4657,The AI refused my request without explanation. The AI refused my request without explanation.,2.5,4,9.431765,0.9967261,6.3147473,Cluster 4,The AI refused my request without explanation. The AI refused my request without explanation....
2026-01-01 05:00:00,u3286,Safety filter was too aggressive for a benign cultural question. The model hallucinated a fact about my region.,4.0,4,14.024305,6.6643376,-4.790506,Cluster 4,Safety filter was too aggressive for a benign cultural question. The model hallucinated a fact about...
2026-01-01 06:00:00,u2679,"Great answer, but missed the nuance of my local dialect. Excellent multilingual support — handled code-switching well.",4.3,2,-2.5907137,23.14493,3.073172,Cluster 2,"Great answer, but missed the nuance of my local dialect. Excellent multilingual support — handled co..."
2026-01-01 07:00:00,u9935,"Great answer, but missed the nuance of my local dialect. Very thorough and respectful response.",2.0,1,4.1838713,5.9504805,9.930199,Cluster 1,"Great answer, but missed the nuance of my local dialect. Very thorough and respectful response...."
2026-01-01 08:00:00,u2424,The model hallucinated a fact about my region. The AI refused my request without explanation.,1.3,4,1.518541,-1.2148119,12.321847,Cluster 4,The model hallucinated a fact about my region. The AI refused my request without explanation....
2026-01-01 09:00:00,u7912,I felt the AI was dismissive of my cultural context. The model hallucinated a fact about my region.,1.1,4,9.402056,0.8765771,8.577505,Cluster 4,I felt the AI was dismissive of my cultural context. The model hallucinated a fact about my region....
2026-01-01 10:00:00,u1520,Safety filter was too aggressive for a benign cultural question. I felt the AI was dismissive of my cultural context.,3.2,1,0.7140004,3.205549,1.8500222,Cluster 1,Safety filter was too aggressive for a benign cultural question. I felt the AI was dismissive of my ...
2026-01-01 11:00:00,u1488,The response was helpful and clear. Safety filter was too aggressive for a benign cultural question.,5.0,1,0.92080647,3.3561344,2.4825454,Cluster 1,The response was helpful and clear. Safety filter was too aggressive for a benign cultural question....
2026-01-01 12:00:00,u2535,The response was helpful and clear. I felt the AI was dismissive of my cultural context.,2.4,4,8.915051,0.36837175,8.948358,Cluster 4,The response was helpful and clear. I felt the AI was dismissive of my cultural context....
2026-01-01 13:00:00,u4582,"The AI refused my request without explanation. Great answer, but missed the nuance of my local dialect.",3.6,1,2.3314018,8.018533,10.955881,Cluster 1,"The AI refused my request without explanation. Great answer, but missed the nuance of my local diale..."
2026-01-01 14:00:00,u4811,Excellent multilingual support — handled code-switching well. The model hallucinated a fact about my region.,4.1,4,8.22151,-0.75184524,4.590364,Cluster 4,Excellent multilingual support — handled code-switching well. The model hallucinated a fact about my...
2026-01-01 15:00:00,u9279,The model hallucinated a fact about my region. The AI refused my request without explanation.,3.6,4,1.5147712,-1.2111942,12.318281,Cluster 4,The model hallucinated a fact about my region. The AI refused my request without explanation....
2026-01-01 16:00:00,u1434,Excellent multilingual support — handled code-switching well. The response was helpful and clear.,4.0,4,8.584445,-0.5696244,4.792053,Cluster 4,Excellent multilingual support — handled code-switching well. The response was helpful and clear....
2026-01-01 17:00:00,u4257,"Great answer, but missed the nuance of my local dialect. Excellent multilingual support — handled code-switching well.",4.8,2,-2.7267444,23.28096,2.9371438,Cluster 2,"Great answer, but missed the nuance of my local dialect. Excellent multilingual support — handled co..."
2026-01-01 18:00:00,u9928,The response was helpful and clear. Excellent multilingual support — handled code-switching well.,1.8,4,8.67691,-0.7052913,4.7024946,Cluster 4,The response was helpful and clear. Excellent multilingual support — handled code-switching well....
2026-01-01 19:00:00,u7873,Very thorough and respectful response. The model hallucinated a fact about my region.,1.1,3,18.707996,12.328365,15.216857,Cluster 3,Very thorough and respectful response. The model hallucinated a fact about my region....
2026-01-01 20:00:00,u4611,Very thorough and respectful response. Excellent multilingual support — handled code-switching well.,1.6,4,-10.497019,-4.0028653,-6.2146072,Cluster 4,Very thorough and respectful response. Excellent multilingual support — handled code-switching well....
2026-01-01 21:00:00,u8359,Safety filter was too aggressive for a benign cultural question. The model hallucinated a fact about my region.,1.5,4,14.06498,6.7048936,-4.7493587,Cluster 4,Safety filter was too aggressive for a benign cultural question. The model hallucinated a fact about...
2026-01-01 22:00:00,u5557,"Great answer, but missed the nuance of my local dialect. The AI refused my request without explanation.",3.7,1,2.3801472,7.9775076,10.910246,Cluster 1,"Great answer, but missed the nuance of my local dialect. The AI refused my request without explanati..."
2026-01-01 23:00:00,u1106,Very thorough and respectful response. The AI refused my request without explanation.,3.3,3,19.016985,12.876521,15.397253,Cluster 3,Very thorough and respectful response. The AI refused my request without explanation....
2026-01-02 00:00:00,u3615,The response was helpful and clear. Perfectly handled a sensitive topic with appropriate caveats.,1.9,0,-2.9897668,-7.914828,10.3002205,Cluster 0,The response was helpful and clear. Perfectly handled a sensitive topic with appropriate caveats....
2026-01-02 01:00:00,u7924,Safety filter was too aggressive for a benign cultural question. The response was helpful and clear.,3.8,1,0.97719306,3.2504787,2.5899258,Cluster 1,Safety filter was too aggressive for a benign cultural question. The response was helpful and clear....
2026-01-02 02:00:00,u6574,The AI made assumptions about my background. The response was helpful and clear.,4.1,4,11.146799,3.4713974,6.7492437,Cluster 4,The AI made assumptions about my background. The response was helpful and clear....
2026-01-02 03:00:00,u5552,The response was helpful and clear. Perfectly handled a sensitive topic with appropriate caveats.,1.7,0,-2.8018775,-7.837843,10.249086,Cluster 0,The response was helpful and clear. Perfectly handled a sensitive topic with appropriate caveats....
2026-01-02 04:00:00,u3547,The model hallucinated a fact about my region. Safety filter was too aggressive for a benign cultural question.,3.4,4,13.9978075,6.6377573,-4.818141,Cluster 4,The model hallucinated a fact about my region. Safety filter was too aggressive for a benign cultura...
2026-01-02 05:00:00,u4527,"Safety filter was too aggressive for a benign cultural question. Great answer, but missed the nuance of my local dialect.",4.0,1,4.4207187,7.5864773,9.239362,Cluster 1,"Safety filter was too aggressive for a benign cultural question. Great answer, but missed the nuance..."
2026-01-02 06:00:00,u6514,The response was helpful and clear. Safety filter was too aggressive for a benign cultural question.,1.5,1,0.9480447,3.352671,2.4790752,Cluster 1,The response was helpful and clear. Safety filter was too aggressive for a benign cultural question....
2026-01-02 07:00:00,u2674,"I felt the AI was dismissive of my cultural context. Great answer, but missed the nuance of my local dialect.",4.3,1,3.826174,7.9334707,9.6536665,Cluster 1,"I felt the AI was dismissive of my cultural context. Great answer, but missed the nuance of my local..."
2026-01-02 08:00:00,u2519,I felt the AI was dismissive of my cultural context. Perfectly handled a sensitive topic with appropriate caveats.,4.9,0,-2.9694905,-7.830174,10.600331,Cluster 0,I felt the AI was dismissive of my cultural context. Perfectly handled a sensitive topic with approp...
2026-01-02 09:00:00,u7224,I felt the AI was dismissive of my cultural context. The AI refused my request without explanation.,1.4,4,9.153299,0.72406584,8.174608,Cluster 4,I felt the AI was dismissive of my cultural context. The AI refused my request without explanation....
2026-01-02 10:00:00,u2584,Excellent multilingual support — handled code-switching well. I felt the AI was dismissive of my cultural context.,1.1,4,8.782474,0.080761045,8.011944,Cluster 4,Excellent multilingual support — handled code-switching well. I felt the AI was dismissive of my cul...
2026-01-02 11:00:00,u6881,Perfectly handled a sensitive topic with appropriate caveats. The AI refused my request without explanation.,2.2,0,-2.8100922,-8.32567,10.508044,Cluster 0,Perfectly handled a sensitive topic with appropriate caveats. The AI refused my request without expl...
2026-01-02 12:00:00,u6635,Perfectly handled a sensitive topic with appropriate caveats. Perfectly handled a sensitive topic with appropriate caveats.,3.7,0,-2.8650339,-8.055056,10.419819,Cluster 0,Perfectly handled a sensitive topic with appropriate caveats. Perfectly handled a sensitive topic wi...
2026-01-02 13:00:00,u5333,The response was helpful and clear. Perfectly handled a sensitive topic with appropriate caveats.,4.8,0,-2.9816284,-8.031205,10.227562,Cluster 0,The response was helpful and clear. Perfectly handled a sensitive topic with appropriate caveats....
2026-01-02 14:00:00,u1711,I felt the AI was dismissive of my cultural context. Excellent multilingual support — handled code-switching well.,2.6,4,8.8415785,0.010057401,7.95386,Cluster 4,I felt the AI was dismissive of my cultural context. Excellent multilingual support — handled code-s...
2026-01-02 15:00:00,u8527,Perfectly handled a sensitive topic with appropriate caveats. Perfectly handled a sensitive topic with appropriate caveats.,3.9,0,-2.6697888,-8.089044,10.325061,Cluster 0,Perfectly handled a sensitive topic with appropriate caveats. Perfectly handled a sensitive topic wi...
2026-01-02 16:00:00,u9785,Safety filter was too aggressive for a benign cultural question. The AI made assumptions about my background.,1.3,4,11.213014,3.735255,5.83626,Cluster 4,Safety filter was too aggressive for a benign cultural question. The AI made assumptions about my ba...
2026-01-02 17:00:00,u3045,Very thorough and respectful response. The AI refused my request without explanation.,3.8,3,18.967716,12.947306,15.331011,Cluster 3,Very thorough and respectful response. The AI refused my request without explanation....
2026-01-02 18:00:00,u7201,The AI made assumptions about my background. The AI refused my request without explanation.,3.5,4,10.836224,3.227351,6.8022485,Cluster 4,The AI made assumptions about my background. The AI refused my request without explanation....
2026-01-02 19:00:00,u2291,Very thorough and respectful response. Excellent multilingual support — handled code-switching well.,1.4,4,-10.515693,-4.0215344,-6.233276,Cluster 4,Very thorough and respectful response. Excellent multilingual support — handled code-switching well....
2026-01-02 20:00:00,u5803,"Great answer, but missed the nuance of my local dialect. Very thorough and respectful response.",4.1,1,4.305334,6.0671086,9.973631,Cluster 1,"Great answer, but missed the nuance of my local dialect. Very thorough and respectful response...."
2026-01-02 21:00:00,u6925,The model hallucinated a fact about my region. The AI made assumptions about my background.,4.4,4,11.009797,3.5753279,6.7469096,Cluster 4,The model hallucinated a fact about my region. The AI made assumptions about my background....
2026-01-02 22:00:00,u4150,I felt the AI was dismissive of my cultural context. The response was helpful and clear.,3.4,4,8.823761,0.2647052,8.797405,Cluster 4,I felt the AI was dismissive of my cultural context. The response was helpful and clear....
2026-01-02 23:00:00,u2139,The model hallucinated a fact about my region. Perfectly handled a sensitive topic with appropriate caveats.,1.5,0,-3.1086946,-7.639609,10.460665,Cluster 0,The model hallucinated a fact about my region. Perfectly handled a sensitive topic with appropriate ...
2026-01-03 00:00:00,u1750,Perfectly handled a sensitive topic with appropriate caveats. I felt the AI was dismissive of my cultural context.,4.9,0,-2.9120817,-7.8412204,10.723404,Cluster 0,Perfectly handled a sensitive topic with appropriate caveats. I felt the AI was dismissive of my cul...
2026-01-03 01:00:00,u4733,I felt the AI was dismissive of my cultural context. Safety filter was too aggressive for a benign cultural question.,4.1,1,0.71561605,3.2488754,1.8773367,Cluster 1,I felt the AI was dismissive of my cultural context. Safety filter was too aggressive for a benign c...
2026-01-03 02:00:00,u5741,The AI refused my request without explanation. Safety filter was too aggressive for a benign cultural question.,2.4,1,1.3043327,2.6927497,1.948121,Cluster 1,The AI refused my request without explanation. Safety filter was too aggressive for a benign cultura...
2026-01-03 03:00:00,u2307,"Very thorough and respectful response. Great answer, but missed the nuance of my local dialect.",2.7,1,4.286301,6.0734034,10.019656,Cluster 1,"Very thorough and respectful response. Great answer, but missed the nuance of my local dialect...."
2026-01-03 04:00:00,u4814,The AI made assumptions about my background. I felt the AI was dismissive of my cultural context.,2.5,4,11.023935,3.13614,7.2906656,Cluster 4,The AI made assumptions about my background. I felt the AI was dismissive of my cultural context....
2026-01-03 05:00:00,u2654,The AI refused my request without explanation. The AI made assumptions about my background.,3.0,4,10.732908,3.129952,6.721818,Cluster 4,The AI refused my request without explanation. The AI made assumptions about my background....
2026-01-03 06:00:00,u7227,"Very thorough and respectful response. Great answer, but missed the nuance of my local dialect.",2.4,1,4.2419624,6.0427046,10.035067,Cluster 1,"Very thorough and respectful response. Great answer, but missed the nuance of my local dialect...."
2026-01-03 07:00:00,u5554,The model hallucinated a fact about my region. Safety filter was too aggressive for a benign cultural question.,4.4,4,13.996888,6.6367874,-4.818736,Cluster 4,The model hallucinated a fact about my region. Safety filter was too aggressive for a benign cultura...
2026-01-03 08:00:00,u8428,Very thorough and respectful response. Perfectly handled a sensitive topic with appropriate caveats.,4.3,0,-2.632404,-7.7353334,10.067188,Cluster 0,Very thorough and respectful response. Perfectly handled a sensitive topic with appropriate caveats....
2026-01-03 09:00:00,u6977,Safety filter was too aggressive for a benign cultural question. The response was helpful and clear.,1.4,1,0.9739916,3.2022614,2.6228178,Cluster 1,Safety filter was too aggressive for a benign cultural question. The response was helpful and clear....
2026-01-03 10:00:00,u3664,Safety filter was too aggressive for a benign cultural question. Very thorough and respectful response.,4.8,1,0.9095648,3.0058153,2.860403,Cluster 1,Safety filter was too aggressive for a benign cultural question. Very thorough and respectful respon...
2026-01-03 11:00:00,u7065,"I felt the AI was dismissive of my cultural context. Great answer, but missed the nuance of my local dialect.",3.5,1,3.8059607,7.889733,9.679312,Cluster 1,"I felt the AI was dismissive of my cultural context. Great answer, but missed the nuance of my local..."
2026-01-03 12:00:00,u6820,Very thorough and respectful response. I felt the AI was dismissive of my cultural context.,4.3,4,8.823683,-0.2349998,8.387496,Cluster 4,Very thorough and respectful response. I felt the AI was dismissive of my cultural context....
2026-01-03 13:00:00,u4432,I felt the AI was dismissive of my cultural context. Safety filter was too aggressive for a benign cultural question.,3.8,1,0.81532663,3.361514,1.9768189,Cluster 1,I felt the AI was dismissive of my cultural context. Safety filter was too aggressive for a benign c...
2026-01-03 14:00:00,u5374,"Great answer, but missed the nuance of my local dialect. Very thorough and respectful response.",2.7,1,4.27122,6.0568757,10.003358,Cluster 1,"Great answer, but missed the nuance of my local dialect. Very thorough and respectful response...."
2026-01-03 15:00:00,u2169,Very thorough and respectful response. Perfectly handled a sensitive topic with appropriate caveats.,3.9,0,-2.5336056,-7.7855544,10.253104,Cluster 0,Very thorough and respectful response. Perfectly handled a sensitive topic with appropriate caveats....
2026-01-03 16:00:00,u3803,The AI refused my request without explanation. The AI made assumptions about my background.,4.9,4,10.7888365,3.156415,6.7748637,Cluster 4,The AI refused my request without explanation. The AI made assumptions about my background....
2026-01-03 17:00:00,u9751,The AI refused my request without explanation. Very thorough and respectful response.,2.1,3,18.98398,12.99736,15.396095,Cluster 3,The AI refused my request without explanation. Very thorough and respectful response....
2026-01-03 18:00:00,u5010,Safety filter was too aggressive for a benign cultural question. The model hallucinated a fact about my region.,4.2,4,14.010071,6.6500435,-4.8048496,Cluster 4,Safety filter was too aggressive for a benign cultural question. The model hallucinated a fact about...
2026-01-03 19:00:00,u3677,Very thorough and respectful response. The response was helpful and clear.,3.2,3,18.658873,12.50317,15.38469,Cluster 3,Very thorough and respectful response. The response was helpful and clear....
2026-01-03 20:00:00,u8573,I felt the AI was dismissive of my cultural context. Excellent multilingual support — handled code-switching well.,2.9,4,8.855774,0.10495219,7.94307,Cluster 4,I felt the AI was dismissive of my cultural context. Excellent multilingual support — handled code-s...
2026-01-03 21:00:00,u7216,Very thorough and respectful response. The response was helpful and clear.,2.7,3,18.68101,12.500124,15.411718,Cluster 3,Very thorough and respectful response. The response was helpful and clear....
2026-01-03 22:00:00,u5422,The response was helpful and clear. The AI made assumptions about my background.,3.9,4,11.168246,3.4000072,6.8488536,Cluster 4,The response was helpful and clear. The AI made assumptions about my background....
2026-01-03 23:00:00,u4598,"Great answer, but missed the nuance of my local dialect. Very thorough and respectful response.",2.1,1,4.308366,6.008468,10.042952,Cluster 1,"Great answer, but missed the nuance of my local dialect. Very thorough and respectful response...."
2026-01-04 00:00:00,u6313,"Great answer, but missed the nuance of my local dialect. The model hallucinated a fact about my region.",4.4,1,4.6883698,7.835287,10.159451,Cluster 1,"Great answer, but missed the nuance of my local dialect. The model hallucinated a fact about my regi..."
2026-01-04 01:00:00,u1916,Safety filter was too aggressive for a benign cultural question. Excellent multilingual support — handled code-switching well.,4.3,1,0.96156436,2.7114863,2.9999926,Cluster 1,Safety filter was too aggressive for a benign cultural question. Excellent multilingual support — ha...
2026-01-04 02:00:00,u4752,Safety filter was too aggressive for a benign cultural question. The response was helpful and clear.,1.3,1,0.9295044,3.226953,2.5778952,Cluster 1,Safety filter was too aggressive for a benign cultural question. The response was helpful and clear....
2026-01-04 03:00:00,u1525,I felt the AI was dismissive of my cultural context. I felt the AI was dismissive of my cultural context.,4.5,4,8.874783,0.030117946,8.394114,Cluster 4,I felt the AI was dismissive of my cultural context. I felt the AI was dismissive of my cultural con...
2026-01-04 04:00:00,u6168,"Great answer, but missed the nuance of my local dialect. Safety filter was too aggressive for a benign cultural question.",2.0,1,4.4332895,7.6922283,9.38594,Cluster 1,"Great answer, but missed the nuance of my local dialect. Safety filter was too aggressive for a beni..."
2026-01-04 05:00:00,u7572,The response was helpful and clear. The AI made assumptions about my background.,2.9,4,11.143725,3.5691836,6.7765646,Cluster 4,The response was helpful and clear. The AI made assumptions about my background....
2026-01-04 06:00:00,u5386,Perfectly handled a sensitive topic with appropriate caveats. Safety filter was too aggressive for a benign cultural question.,3.4,0,-3.0867462,-8.257114,10.197566,Cluster 0,Perfectly handled a sensitive topic with appropriate caveats. Safety filter was too aggressive for a...
2026-01-04 07:00:00,u2084,"Great answer, but missed the nuance of my local dialect. Excellent multilingual support — handled code-switching well.",2.5,2,-2.6498847,23.204092,3.014002,Cluster 2,"Great answer, but missed the nuance of my local dialect. Excellent multilingual support — handled co..."
2026-01-04 08:00:00,u4456,"Great answer, but missed the nuance of my local dialect. The response was helpful and clear.",1.1,1,4.3559923,7.493243,10.083795,Cluster 1,"Great answer, but missed the nuance of my local dialect. The response was helpful and clear...."
2026-01-04 09:00:00,u6155,Very thorough and respectful response. The AI made assumptions about my background.,4.4,4,11.874128,4.378602,6.9371567,Cluster 4,Very thorough and respectful response. The AI made assumptions about my background....
2026-01-04 10:00:00,u4483,The response was helpful and clear. The AI made assumptions about my background.,1.7,4,11.207928,3.463059,6.910333,Cluster 4,The response was helpful and clear. The AI made assumptions about my background....
2026-01-04 11:00:00,u9179,The AI refused my request without explanation. The AI refused my request without explanation.,1.8,4,9.49194,1.1478394,6.180424,Cluster 4,The AI refused my request without explanation. The AI refused my request without explanation....
2026-01-04 12:00:00,u7482,I felt the AI was dismissive of my cultural context. The AI made assumptions about my background.,4.2,4,10.955703,3.0300775,7.323033,Cluster 4,I felt the AI was dismissive of my cultural context. The AI made assumptions about my background....
2026-01-04 13:00:00,u8517,Safety filter was too aggressive for a benign cultural question. Excellent multilingual support — handled code-switching well.,2.4,1,0.98261386,2.6612854,3.045271,Cluster 1,Safety filter was too aggressive for a benign cultural question. Excellent multilingual support — ha...
2026-01-04 14:00:00,u3340,"Perfectly handled a sensitive topic with appropriate caveats. Great answer, but missed the nuance of my local dialect.",4.5,0,-2.7628062,-8.036069,10.5823765,Cluster 0,"Perfectly handled a sensitive topic with appropriate caveats. Great answer, but missed the nuance of..."
2026-01-04 15:00:00,u5339,"The AI refused my request without explanation. Great answer, but missed the nuance of my local dialect.",3.8,1,2.4352221,7.9196715,10.852957,Cluster 1,"The AI refused my request without explanation. Great answer, but missed the nuance of my local diale..."
2026-01-04 16:00:00,u3287,"Great answer, but missed the nuance of my local dialect. Excellent multilingual support — handled code-switching well.",2.1,2,-2.61878,23.173016,3.0451105,Cluster 2,"Great answer, but missed the nuance of my local dialect. Excellent multilingual support — handled co..."
2026-01-04 17:00:00,u5040,"The response was helpful and clear. Great answer, but missed the nuance of my local dialect.",1.0,1,4.344568,7.359683,9.969296,Cluster 1,"The response was helpful and clear. Great answer, but missed the nuance of my local dialect...."
2026-01-04 18:00:00,u9830,The AI made assumptions about my background. Excellent multilingual support — handled code-switching well.,4.8,4,15.45578,9.88159,2.980619,Cluster 4,The AI made assumptions about my background. Excellent multilingual support — handled code-switching...
2026-01-04 19:00:00,u5304,The AI refused my request without explanation. Very thorough and respectful response.,1.3,3,19.158821,12.81038,15.594362,Cluster 3,The AI refused my request without explanation. Very thorough and respectful response....
2026-01-04 20:00:00,u8019,"Great answer, but missed the nuance of my local dialect. I felt the AI was dismissive of my cultural context.",3.9,1,3.9172306,7.8005357,9.613561,Cluster 1,"Great answer, but missed the nuance of my local dialect. I felt the AI was dismissive of my cultural..."
2026-01-04 21:00:00,u7543,Excellent multilingual support — handled code-switching well. The response was helpful and clear.,3.0,4,8.559159,-0.5456653,4.860881,Cluster 4,Excellent multilingual support — handled code-switching well. The response was helpful and clear....
2026-01-04 22:00:00,u6930,The model hallucinated a fact about my region. The AI refused my request without explanation.,4.0,4,1.5720541,-1.2746247,12.381706,Cluster 4,The model hallucinated a fact about my region. The AI refused my request without explanation....
2026-01-04 23:00:00,u4593,The AI refused my request without explanation. The model hallucinated a fact about my region.,3.8,4,1.586457,-1.2821244,12.389138,Cluster 4,The AI refused my request without explanation. The model hallucinated a fact about my region....
2026-01-05 00:00:00,u3266,The AI made assumptions about my background. Very thorough and respectful response.,3.6,4,11.879032,4.3778815,6.9500294,Cluster 4,The AI made assumptions about my background. Very thorough and respectful response....
2026-01-05 01:00:00,u9348,The AI refused my request without explanation. The AI refused my request without explanation.,3.0,4,9.268742,0.90832365,6.20668,Cluster 4,The AI refused my request without explanation. The AI refused my request without explanation....
2026-01-05 02:00:00,u9085,The response was helpful and clear. The AI refused my request without explanation.,4.2,4,9.410633,1.0162656,6.285398,Cluster 4,The response was helpful and clear. The AI refused my request without explanation....
2026-01-05 03:00:00,u2489,Excellent multilingual support — handled code-switching well. The AI made assumptions about my background.,1.4,4,15.403705,9.829729,3.0331466,Cluster 4,Excellent multilingual support — handled code-switching well. The AI made assumptions about my backg...
